episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
13300,167.52,-0.1,-1.0,-1,1,1
13400,167.67,-0.38,-1.0,-1,1,1
13500,167.83,-0.16,-1.0,-1,1,1
13600,168.08,-0.36,-1.0,-1,1,1
13700,168.27,-0.3,-1.0,-1,1,1
13800,168.41,-0.2,-1.0,-1,1,1
13900,168.48,-0.22,-1.0,-1,1,1
14000,168.57,-0.34,-1.0,-1,1,1
14100,168.72,-0.28,-1.0,-1,1,1
14200,168.9,-0.16,-1.0,-1,1,1
14300,168.96,-0.22,-1.0,-1,1,1
14400,169.21,-0.34,-1.0,-1,1,1
14500,169.39,-0.16,-1.0,-1,1,0
14600,169.62,-0.1,-1.0,-1,1,0
14700,169.7,-0.32,-1.0,-1,1,1
14800,169.81,-0.26,-1.0,-1,1,1
14900,169.84,-0.32,-1.0,-1,1,1
15000,169.84,-0.2,-1.0,-1,1,2
15100,169.9,-0.24,-1.0,-1,1,1
15200,170.04,-0.16,-1.0,-1,1,2
15300,170.14,-0.1,-1.0,-1,1,2
15400,170.27,-0.26,-1.0,-1,1,2
15500,170.4,-0.28,-1.0,-1,1,1
15600,170.56,-0.34,-1.0,-1,1,1
15700,170.61,-0.08,-1.0,-1,1,1
15800,170.72,-0.26,-1.0,-1,1,1
15900,170.84,-0.24,-1.0,-1,1,1
16000,171.01,-0.28,-1.0,-1,1,1
16100,171.2,-0.16,-1.0,-1,1,1
16200,171.35,-0.22,-1.0,-1,1,2
16300,171.31,-0.22,-1.0,-1,1,1
16400,171.4,-0.46,-1.0,-1,1,1
16500,171.42,-0.3,-1.0,-1,1,2
16600,171.4,-0.26,-1.0,-1,1,1
16700,171.59,-0.14,-1.0,-1,1,1
16800,171.56,-0.1,-1.0,-1,1,1
16900,171.58,-0.18,-1.0,-1,1,0
17000,171.69,-0.24,-1.0,-1,1,2
17100,171.86,-0.2,-1.0,-1,1,2
17200,171.98,0.0,0.0,-1,1,3
17300,172.05,-0.22,-1.0,-1,1,1
17400,172.12,-0.22,-1.0,-1,1,2
17500,172.22,-0.28,-1.0,-1,1,2
17600,172.33,-0.02,-1.0,-1,1,2
17700,172.48,-0.22,-1.0,-1,1,2
17800,172.48,-0.12,-1.0,-1,1,2
17900,172.55,-0.28,-1.0,-1,1,2
18000,172.73,-0.26,-1.0,-1,1,2
18100,172.85,-0.3,-1.0,-1,1,2
18200,172.91,-0.3,-1.0,-1,1,2
18300,172.99,-0.12,-1.0,-1,1,2
18400,173.07,-0.38,-1.0,-1,1,0
18500,173.27,-0.22,-1.0,-1,1,2
18600,173.4,-0.16,-1.0,-1,1,2
18700,173.6,-0.26,-1.0,-1,1,2
18800,173.63,-0.24,-1.0,-1,1,2
18900,173.75,-0.28,-1.0,-1,1,2
