Timestep,Mean Timestep,Mean,Median,Min Reward,Max Reward
159000,129.02,-0.32,-1,-1,1
160000,129.33,-0.262,-1,-1,1
161000,129.65,-0.27,-1,-1,1
162000,129.95,-0.232,-1,-1,1
163000,130.21,-0.342,-1,-1,1
164000,130.41,-0.352,-1,-1,1
165000,130.71,-0.198,-1,-1,1
166000,131.02,-0.294,-1,-1,1
167000,131.25,-0.29,-1,-1,1
168000,131.57,-0.288,-1,-1,1
169000,131.88,-0.256,-1,-1,1
170000,132.17,-0.294,-1,-1,1
171000,132.41,-0.198,-1,-1,1
172000,132.67,-0.13,-1,-1,1
173000,132.92,-0.104,-1,-1,1
174000,133.21,-0.236,-1,-1,1
175000,133.44,-0.28,-1,-1,1
176000,133.65,-0.254,-1,-1,1
177000,133.9,-0.272,-1,-1,1
178000,134.17,-0.276,-1,-1,1
179000,134.46,-0.23,-1,-1,1
180000,134.76,-0.256,-1,-1,1
181000,135.07,-0.226,-1,-1,1
182000,135.32,-0.284,-1,-1,1
183000,135.5,-0.256,-1,-1,1
184000,135.65,-0.272,-1,-1,1
185000,135.81,-0.336,-1,-1,1
186000,136.05,-0.144,-1,-1,1
187000,136.25,-0.236,-1,-1,1
188000,136.4,-0.324,-1,-1,1
189000,136.39,-0.474,-1,-1,1
190000,136.56,-0.308,-1,-1,1
191000,136.82,-0.178,-1,-1,1
192000,137.04,-0.264,-1,-1,1
193000,137.31,-0.232,-1,-1,1
194000,137.48,-0.238,-1,-1,1
195000,137.67,-0.248,-1,-1,1
196000,137.92,-0.306,-1,-1,1
197000,138.1,-0.234,-1,-1,1
198000,138.28,-0.22,-1,-1,1
199000,138.44,-0.312,-1,-1,1
200000,138.62,-0.274,-1,-1,1
201000,138.87,-0.142,-1,-1,1
202000,139.07,-0.234,-1,-1,1
203000,139.27,-0.302,-1,-1,1
204000,139.45,-0.144,-1,-1,1
205000,139.65,-0.184,-1,-1,1
206000,139.85,-0.182,-1,-1,1
207000,140.01,-0.256,-1,-1,1
208000,140.19,-0.134,-1,-1,1
209000,140.38,-0.226,-1,-1,1
210000,140.6,-0.208,-1,-1,1
211000,140.83,-0.14,-1,-1,1
212000,141.05,-0.212,-1,-1,1
213000,141.24,-0.236,-1,-1,1
214000,141.43,-0.21,-1,-1,1
215000,141.62,-0.218,-1,-1,1
216000,141.79,-0.184,-1,-1,1
217000,141.93,-0.22,-1,-1,1
218000,142.05,-0.35,-1,-1,1
219000,142.21,-0.212,-1,-1,1
220000,142.38,-0.24,-1,-1,1
221000,142.52,-0.22,-1,-1,1
222000,142.69,-0.224,-1,-1,1
223000,142.92,-0.168,-1,-1,1
224000,143.09,-0.246,-1,-1,1
225000,143.22,-0.326,-1,-1,1
226000,143.35,-0.296,-1,-1,1
227000,143.5,-0.172,-1,-1,1
228000,143.67,-0.216,-1,-1,1
229000,143.85,-0.206,-1,-1,1
230000,143.99,-0.3,-1,-1,1
231000,144.07,-0.334,-1,-1,1
232000,144.16,-0.308,-1,-1,1
233000,144.27,-0.242,-1,-1,1
234000,144.4,-0.318,-1,-1,1
235000,144.54,-0.274,-1,-1,1
236000,144.69,-0.264,-1,-1,1
237000,144.84,-0.22,-1,-1,1
238000,144.99,-0.194,-1,-1,1
239000,145.11,-0.29,-1,-1,1
240000,145.2,-0.254,-1,-1,1
241000,145.3,-0.266,-1,-1,1
242000,145.45,-0.208,-1,-1,1
243000,145.59,-0.24,-1,-1,1
244000,145.73,-0.284,-1,-1,1
245000,145.86,-0.278,-1,-1,1
246000,145.97,-0.19,-1,-1,1
247000,146.09,-0.18,-1,-1,1
248000,146.21,-0.256,-1,-1,1
249000,146.3,-0.22,-1,-1,1
250000,146.42,-0.262,-1,-1,1
251000,146.56,-0.146,-1,-1,1
252000,146.71,-0.19,-1,-1,1
253000,146.84,-0.228,-1,-1,1
254000,146.97,-0.176,-1,-1,1
255000,147.09,-0.222,-1,-1,1
256000,147.23,-0.138,-1,-1,1
257000,147.37,-0.194,-1,-1,1
258000,147.48,-0.264,-1,-1,1
259000,147.57,-0.25,-1,-1,1
260000,147.69,-0.3,-1,-1,1
261000,147.8,-0.288,-1,-1,1
262000,147.9,-0.246,-1,-1,1
263000,148.03,-0.242,-1,-1,1
264000,148.14,-0.23,-1,-1,1
265000,148.27,-0.314,-1,-1,1
266000,148.39,-0.184,-1,-1,1
267000,148.5,-0.252,-1,-1,1
268000,148.59,-0.326,-1,-1,1
269000,148.71,-0.202,-1,-1,1
270000,148.84,-0.104,-1,-1,1
271000,148.98,-0.126,-1,-1,1
272000,149.1,-0.278,-1,-1,1
273000,149.2,-0.23,-1,-1,1
274000,149.3,-0.278,-1,-1,1
275000,149.39,-0.258,-1,-1,1
276000,149.47,-0.172,-1,-1,1
277000,149.53,-0.374,-1,-1,1
278000,149.62,-0.23,-1,-1,1
279000,149.69,-0.238,-1,-1,1
280000,149.8,-0.184,-1,-1,1
281000,149.9,-0.236,-1,-1,1
282000,149.98,-0.212,-1,-1,1
283000,150.09,-0.238,-1,-1,1
284000,150.17,-0.256,-1,-1,1
285000,150.25,-0.282,-1,-1,1
286000,150.35,-0.256,-1,-1,1
287000,150.45,-0.222,-1,-1,1
288000,150.52,-0.272,-1,-1,1
289000,150.62,-0.276,-1,-1,1
290000,150.69,-0.298,-1,-1,1
291000,150.78,-0.194,-1,-1,1
292000,150.87,-0.252,-1,-1,1
293000,150.96,-0.376,-1,-1,1
294000,151.02,-0.224,-1,-1,1
295000,151.11,-0.232,-1,-1,1
296000,151.2,-0.202,-1,-1,1
297000,151.29,-0.232,-1,-1,1
298000,151.37,-0.246,-1,-1,1
299000,151.46,-0.192,-1,-1,1
300000,151.55,-0.188,-1,-1,1
301000,151.62,-0.226,-1,-1,1
302000,151.71,-0.256,-1,-1,1
303000,151.78,-0.308,-1,-1,1
304000,151.85,-0.284,-1,-1,1
305000,151.92,-0.262,-1,-1,1
306000,152.01,-0.312,-1,-1,1
307000,152.11,-0.212,-1,-1,1
308000,152.19,-0.272,-1,-1,1
309000,152.26,-0.172,-1,-1,1
310000,152.33,-0.258,-1,-1,1
311000,152.4,-0.29,-1,-1,1
312000,152.5,-0.266,-1,-1,1
313000,152.59,-0.274,-1,-1,1
314000,152.68,-0.234,-1,-1,1
315000,152.78,-0.276,-1,-1,1
316000,152.85,-0.262,-1,-1,1
317000,152.95,-0.278,-1,-1,1
318000,152.98,-0.25,-1,-1,1
319000,153.04,-0.27,-1,-1,1
320000,153.07,-0.33,-1,-1,1
321000,153.13,-0.38,-1,-1,1
322000,153.19,-0.26,-1,-1,1
323000,153.29,-0.192,-1,-1,1
324000,153.36,-0.214,-1,-1,1
325000,153.42,-0.342,-1,-1,1
326000,153.49,-0.374,-1,-1,1
327000,153.55,-0.362,-1,-1,1
328000,153.61,-0.29,-1,-1,1
329000,153.68,-0.314,-1,-1,1
330000,153.75,-0.242,-1,-1,1
331000,153.81,-0.3,-1,-1,1
332000,153.88,-0.234,-1,-1,1
333000,153.96,-0.19,-1,-1,1
334000,154.08,-0.228,-1,-1,1
335000,154.19,-0.226,-1,-1,1
336000,154.29,-0.228,-1,-1,1
337000,154.4,-0.232,-1,-1,1
338000,154.51,-0.152,-1,-1,1
339000,154.59,-0.23,-1,-1,1
340000,154.67,-0.212,-1,-1,1
341000,154.74,-0.21,-1,-1,1
342000,154.83,-0.24,-1,-1,1
343000,154.87,-0.362,-1,-1,1
344000,154.95,-0.29,-1,-1,1
345000,155.01,-0.322,-1,-1,1
346000,155.08,-0.266,-1,-1,1
347000,155.16,-0.252,-1,-1,1
348000,155.23,-0.296,-1,-1,1
349000,155.32,-0.296,-1,-1,1
350000,155.37,-0.26,-1,-1,1
351000,155.43,-0.288,-1,-1,1
352000,155.47,-0.332,-1,-1,1
353000,155.5,-0.378,-1,-1,1
354000,155.54,-0.34,-1,-1,1
355000,155.57,-0.276,-1,-1,1
356000,155.61,-0.306,-1,-1,1
357000,155.69,-0.232,-1,-1,1
