episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
213640,183.3,-0.6,-1.0,-1,1,"[7798757, 4671068, 11633966, 3129846, 11495274, 15694]"
213650,192.3,0.0,0.0,-1,1,"[7799296, 4671149, 11634995, 3129911, 11495483, 15694]"
213660,189.6,-0.4,-1.0,-1,1,"[7799986, 4671220, 11635897, 3129972, 11495655, 15694]"
213670,140.5,-0.6,-1.0,-1,1,"[7800402, 4671278, 11636645, 3130022, 11495788, 15694]"
213680,139.0,0.0,0.0,-1,1,"[7800799, 4671325, 11637413, 3130095, 11495893, 15694]"
213690,140.9,-0.2,-1.0,-1,1,"[7801167, 4671370, 11638244, 3130136, 11496017, 15694]"
213700,199.1,0.0,0.0,-1,1,"[7801720, 4671452, 11639371, 3130233, 11496149, 15694]"
213710,245.3,-0.6,-1.0,-1,1,"[7802317, 4671575, 11640806, 3130370, 11496310, 15694]"
213720,194.0,0.0,0.0,-1,1,"[7802831, 4671689, 11641860, 3130474, 11496464, 15694]"
213730,154.6,0.0,0.0,-1,1,"[7803257, 4671787, 11642656, 3130563, 11496601, 15694]"
213740,178.7,-0.6,-1.0,-1,1,"[7803806, 4671890, 11643483, 3130682, 11496790, 15694]"
213750,143.4,0.0,0.0,-1,1,"[7804259, 4671979, 11644134, 3130781, 11496932, 15694]"
213760,197.4,-0.6,-1.0,-1,1,"[7804801, 4672142, 11645094, 3130931, 11497091, 15694]"
213770,159.1,0.0,0.0,-1,1,"[7805261, 4672268, 11645841, 3131065, 11497215, 15694]"
213780,178.4,0.2,1.0,-1,1,"[7805896, 4672425, 11646561, 3131224, 11497327, 15695]"
213790,187.1,-0.4,-1.0,-1,1,"[7806533, 4672551, 11647376, 3131394, 11497450, 15695]"
213800,170.4,-0.4,-1.0,-1,1,"[7807013, 4672720, 11648130, 3131561, 11497584, 15695]"
213810,154.3,0.2,1.0,-1,1,"[7807436, 4672829, 11648867, 3131731, 11497688, 15695]"
213820,134.9,-0.8,-1.0,-1,1,"[7807786, 4672950, 11649507, 3131885, 11497772, 15695]"
213830,194.4,0.0,0.0,-1,1,"[7808288, 4673105, 11650424, 3132117, 11497910, 15695]"
213840,180.9,0.0,0.0,-1,1,"[7808768, 4673234, 11651278, 3132348, 11498025, 15695]"
213850,176.4,0.0,0.0,-1,1,"[7809209, 4673351, 11652153, 3132542, 11498162, 15695]"
213860,237.0,-0.6,-1.0,-1,1,"[7809727, 4673499, 11653311, 3132842, 11498408, 15695]"
213870,155.5,-0.2,-1.0,-1,1,"[7810007, 4673617, 11654084, 3133089, 11498545, 15695]"
213880,127.6,-0.2,-1.0,-1,1,"[7810262, 4673731, 11654677, 3133288, 11498660, 15695]"
213890,157.4,-0.2,-1.0,-1,1,"[7810584, 4673863, 11655356, 3133583, 11498805, 15696]"
213900,181.6,0.0,0.0,-1,1,"[7810886, 4673974, 11656295, 3133907, 11498945, 15696]"
213910,143.0,0.0,0.0,-1,1,"[7811150, 4674045, 11657070, 3134101, 11499071, 15696]"
213920,165.4,-1.0,-1.0,-1,-1,"[7811427, 4674118, 11657995, 3134363, 11499188, 15696]"
213930,151.2,-0.4,-1.0,-1,1,"[7811641, 4674181, 11658848, 3134549, 11499384, 15696]"
213940,184.3,-0.4,-1.0,-1,1,"[7811855, 4674297, 11659837, 3134843, 11499614, 15696]"
213950,152.0,0.0,0.0,-1,1,"[7812102, 4674362, 11660576, 3135064, 11499860, 15698]"
213960,147.5,-0.2,-1.0,-1,1,"[7812308, 4674435, 11661382, 3135247, 11500067, 15698]"
213970,186.5,-0.6,-1.0,-1,1,"[7812574, 4674503, 11662391, 3135466, 11500369, 15699]"
213980,161.2,0.0,0.0,-1,1,"[7812848, 4674573, 11663101, 3135676, 11500717, 15699]"
213990,168.6,-0.2,-1.0,-1,1,"[7813191, 4674647, 11663792, 3135947, 11501024, 15699]"
214000,276.1,-0.8,-1.0,-1,1,"[7813808, 4674777, 11664947, 3136327, 11501503, 15699]"
214010,143.0,-0.6,-1.0,-1,1,"[7814181, 4674845, 11665552, 3136514, 11501699, 15700]"
214020,197.4,-0.4,-1.0,-1,1,"[7814716, 4674937, 11666405, 3136738, 11501969, 15700]"
214030,194.9,-0.2,-1.0,-1,1,"[7815316, 4675026, 11667096, 3137043, 11502231, 15702]"
214040,139.9,0.0,0.0,-1,1,"[7815808, 4675100, 11667510, 3137240, 11502452, 15703]"
214050,176.3,-0.6,-1.0,-1,1,"[7816356, 4675181, 11668016, 3137564, 11502755, 15704]"
214060,140.5,0.2,1.0,-1,1,"[7816813, 4675255, 11668391, 3137760, 11503058, 15704]"
214070,223.8,-0.4,-1.0,-1,1,"[7817581, 4675386, 11668922, 3138061, 11503564, 15705]"
214080,175.2,-0.2,-1.0,-1,1,"[7818168, 4675486, 11669343, 3138337, 11503932, 15705]"
214090,162.3,-0.2,-1.0,-1,1,"[7818620, 4675589, 11669788, 3138657, 11504235, 15705]"
214100,185.8,-0.2,-1.0,-1,1,"[7819088, 4675690, 11670344, 3138967, 11504658, 15705]"
214110,143.3,0.6,1.0,-1,1,"[7819441, 4675767, 11670736, 3139254, 11504982, 15705]"
214120,232.8,0.0,0.0,-1,1,"[7819993, 4675872, 11671358, 3139740, 11505545, 15705]"
214130,207.1,0.0,0.0,-1,1,"[7820412, 4675961, 11671993, 3140217, 11505996, 15705]"
214140,181.3,-0.6,-1.0,-1,1,"[7820680, 4676039, 11672572, 3140603, 11506498, 15705]"
214150,226.3,-0.8,-1.0,-1,1,"[7820972, 4676095, 11673353, 3141185, 11507050, 15705]"
214160,152.7,-0.2,-1.0,-1,1,"[7821126, 4676144, 11673975, 3141507, 11507430, 15705]"
214170,136.2,0.0,0.0,-1,1,"[7821263, 4676195, 11674501, 3141818, 11507767, 15705]"
214180,103.9,-0.6,-1.0,-1,1,"[7821362, 4676231, 11674937, 3142056, 11507997, 15705]"
214190,241.7,-0.6,-1.0,-1,1,"[7821581, 4676292, 11675848, 3142495, 11508784, 15705]"
214200,148.1,-0.4,-1.0,-1,1,"[7821694, 4676329, 11676440, 3142790, 11509228, 15705]"
214210,204.8,-0.2,-1.0,-1,1,"[7821866, 4676368, 11677458, 3143099, 11509738, 15705]"
214220,196.3,-0.8,-1.0,-1,1,"[7822001, 4676400, 11678563, 3143340, 11510188, 15705]"
214230,224.7,0.2,1.0,-1,1,"[7822125, 4676426, 11679809, 3143599, 11510780, 15705]"
214240,110.6,0.2,1.0,-1,1,"[7822182, 4676439, 11680487, 3143706, 11511031, 15705]"
214250,153.0,0.2,1.0,-1,1,"[7822243, 4676458, 11681426, 3143840, 11511407, 15706]"
214260,175.1,-0.4,-1.0,-1,1,"[7822316, 4676479, 11682497, 3143976, 11511857, 15706]"
214270,189.4,-0.2,-1.0,-1,1,"[7822400, 4676495, 11683612, 3144101, 11512411, 15706]"
214280,224.7,-0.6,-1.0,-1,1,"[7822509, 4676531, 11684996, 3144252, 11512978, 15706]"
214290,169.4,-0.2,-1.0,-1,1,"[7822569, 4676566, 11686073, 3144336, 11513416, 15706]"
214300,208.8,-0.4,-1.0,-1,1,"[7822696, 4676604, 11687386, 3144472, 11513890, 15706]"
214310,155.1,0.0,0.0,-1,1,"[7822773, 4676639, 11688450, 3144578, 11514159, 15706]"
214320,150.9,-0.4,-1.0,-1,1,"[7822847, 4676663, 11689577, 3144634, 11514387, 15706]"
214330,166.8,-0.4,-1.0,-1,1,"[7822917, 4676696, 11690711, 3144735, 11514717, 15706]"
214340,190.2,-0.4,-1.0,-1,1,"[7823036, 4676728, 11691993, 3144816, 11515105, 15706]"
214350,161.7,-0.4,-1.0,-1,1,"[7823122, 4676763, 11693095, 3144897, 11515418, 15706]"
214360,161.8,-0.2,-1.0,-1,1,"[7823194, 4676782, 11694267, 3144978, 11515692, 15706]"
