episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
10,15.7,-0.8,-1.0,-1,1,"[22, 31, 26, 27, 25, 26]"
20,23.2,-0.8,-1.0,-1,1,"[59, 77, 57, 69, 56, 71]"
30,23.1,-1.0,-1.0,-1,-1,"[91, 119, 111, 111, 87, 101]"
40,30.8,-1.0,-1.0,-1,-1,"[135, 175, 161, 175, 135, 147]"
50,18.6,-1.0,-1.0,-1,-1,"[166, 213, 196, 199, 161, 179]"
60,25.9,-1.0,-1.0,-1,-1,"[199, 255, 241, 248, 204, 226]"
70,20.2,-1.0,-1.0,-1,-1,"[235, 285, 284, 278, 238, 255]"
80,24.4,-1.0,-1.0,-1,-1,"[279, 327, 329, 320, 283, 281]"
90,27.7,-1.0,-1.0,-1,-1,"[323, 375, 372, 370, 329, 327]"
100,21.0,-1.0,-1.0,-1,-1,"[352, 413, 403, 407, 372, 359]"
110,22.1,-1.0,-1.0,-1,-1,"[374, 437, 446, 464, 410, 396]"
120,23.5,-1.0,-1.0,-1,-1,"[409, 485, 483, 517, 443, 425]"
130,22.4,-1.0,-1.0,-1,-1,"[436, 529, 524, 549, 478, 470]"
140,33.2,-1.0,-1.0,-1,-1,"[491, 580, 581, 608, 541, 517]"
150,29.2,-1.0,-1.0,-1,-1,"[544, 628, 626, 670, 586, 556]"
160,23.3,-1.0,-1.0,-1,-1,"[577, 671, 670, 718, 623, 584]"
170,17.5,-0.8,-1.0,-1,1,"[603, 704, 698, 751, 647, 615]"
180,29.8,-1.0,-1.0,-1,-1,"[651, 761, 748, 798, 695, 663]"
190,24.7,-1.0,-1.0,-1,-1,"[686, 815, 799, 846, 727, 690]"
200,27.8,-1.0,-1.0,-1,-1,"[732, 863, 850, 892, 765, 739]"
210,28.0,-1.0,-1.0,-1,-1,"[767, 922, 904, 937, 811, 780]"
220,20.1,-1.0,-1.0,-1,-1,"[800, 958, 940, 972, 841, 811]"
230,19.8,-1.0,-1.0,-1,-1,"[827, 998, 978, 1009, 870, 838]"
240,25.6,-1.0,-1.0,-1,-1,"[870, 1039, 1034, 1049, 897, 887]"
250,27.9,-1.0,-1.0,-1,-1,"[913, 1082, 1091, 1099, 937, 933]"
260,27.0,-1.0,-1.0,-1,-1,"[950, 1137, 1137, 1155, 982, 964]"
270,22.5,-0.8,-1.0,-1,1,"[994, 1171, 1183, 1202, 1013, 987]"
280,17.6,-1.0,-1.0,-1,-1,"[1020, 1197, 1222, 1228, 1043, 1016]"
290,20.6,-1.0,-1.0,-1,-1,"[1058, 1229, 1260, 1259, 1084, 1042]"
300,31.4,-1.0,-1.0,-1,-1,"[1099, 1291, 1318, 1309, 1140, 1089]"
310,24.8,-1.0,-1.0,-1,-1,"[1133, 1331, 1376, 1348, 1185, 1121]"
320,29.6,-1.0,-1.0,-1,-1,"[1177, 1386, 1440, 1397, 1235, 1155]"
330,22.7,-1.0,-1.0,-1,-1,"[1202, 1420, 1484, 1437, 1282, 1192]"
340,18.6,-1.0,-1.0,-1,-1,"[1228, 1445, 1514, 1473, 1323, 1220]"
350,22.4,-1.0,-1.0,-1,-1,"[1272, 1479, 1542, 1526, 1355, 1253]"
360,15.4,-1.0,-1.0,-1,-1,"[1299, 1506, 1570, 1559, 1373, 1274]"
370,32.5,-0.8,-1.0,-1,1,"[1348, 1553, 1640, 1623, 1419, 1323]"
380,23.4,-0.8,-1.0,-1,1,"[1378, 1585, 1678, 1667, 1468, 1364]"
390,25.8,-1.0,-1.0,-1,-1,"[1406, 1632, 1737, 1712, 1510, 1401]"
400,26.6,-1.0,-1.0,-1,-1,"[1450, 1674, 1783, 1763, 1555, 1439]"
410,19.5,-1.0,-1.0,-1,-1,"[1478, 1710, 1816, 1801, 1588, 1466]"
420,31.7,-1.0,-1.0,-1,-1,"[1526, 1770, 1880, 1855, 1643, 1502]"
430,21.0,-1.0,-1.0,-1,-1,"[1562, 1802, 1927, 1892, 1675, 1528]"
440,20.6,-0.8,-1.0,-1,1,"[1591, 1831, 1964, 1934, 1711, 1561]"
450,19.5,-1.0,-1.0,-1,-1,"[1623, 1861, 1997, 1966, 1748, 1592]"
460,21.9,-1.0,-1.0,-1,-1,"[1658, 1896, 2030, 2001, 1796, 1625]"
470,28.8,-1.0,-1.0,-1,-1,"[1703, 1962, 2076, 2047, 1841, 1665]"
480,22.5,-1.0,-1.0,-1,-1,"[1740, 2008, 2112, 2078, 1892, 1689]"
490,18.8,-1.0,-1.0,-1,-1,"[1778, 2034, 2150, 2112, 1914, 1719]"
500,33.1,-1.0,-1.0,-1,-1,"[1843, 2088, 2206, 2160, 1975, 1766]"
510,19.4,-1.0,-1.0,-1,-1,"[1870, 2121, 2234, 2210, 2003, 1794]"
520,17.8,-1.0,-1.0,-1,-1,"[1906, 2154, 2265, 2248, 2020, 1817]"
530,35.0,-1.0,-1.0,-1,-1,"[1957, 2216, 2327, 2321, 2075, 1864]"
540,19.8,-1.0,-1.0,-1,-1,"[1986, 2247, 2365, 2355, 2115, 1890]"
550,30.8,-1.0,-1.0,-1,-1,"[2042, 2290, 2415, 2415, 2165, 1939]"
560,27.7,-0.8,-1.0,-1,1,"[2089, 2342, 2462, 2460, 2201, 1989]"
570,14.8,-1.0,-1.0,-1,-1,"[2108, 2368, 2489, 2486, 2229, 2011]"
580,23.6,-1.0,-1.0,-1,-1,"[2145, 2407, 2541, 2518, 2270, 2046]"
590,19.0,-1.0,-1.0,-1,-1,"[2178, 2444, 2576, 2549, 2294, 2076]"
600,21.1,-1.0,-1.0,-1,-1,"[2214, 2487, 2617, 2587, 2315, 2108]"
610,32.9,-1.0,-1.0,-1,-1,"[2266, 2535, 2679, 2649, 2378, 2150]"
620,20.6,-1.0,-1.0,-1,-1,"[2305, 2565, 2722, 2683, 2410, 2178]"
630,22.2,-1.0,-1.0,-1,-1,"[2340, 2602, 2764, 2716, 2446, 2217]"
640,22.1,-1.0,-1.0,-1,-1,"[2386, 2638, 2809, 2747, 2474, 2252]"
650,35.0,-1.0,-1.0,-1,-1,"[2435, 2708, 2870, 2821, 2524, 2298]"
660,19.2,-1.0,-1.0,-1,-1,"[2453, 2743, 2903, 2857, 2557, 2335]"
670,37.4,-0.8,-1.0,-1,1,"[2515, 2819, 2975, 2919, 2622, 2372]"
680,19.4,-1.0,-1.0,-1,-1,"[2544, 2869, 3003, 2946, 2657, 2397]"
690,17.7,-1.0,-1.0,-1,-1,"[2571, 2895, 3035, 2982, 2677, 2433]"
700,25.4,-1.0,-1.0,-1,-1,"[2610, 2942, 3089, 3020, 2720, 2466]"
710,19.6,-1.0,-1.0,-1,-1,"[2636, 2977, 3128, 3049, 2758, 2495]"
720,24.0,-1.0,-1.0,-1,-1,"[2678, 3020, 3168, 3095, 2785, 2537]"
730,22.4,-1.0,-1.0,-1,-1,"[2713, 3069, 3206, 3133, 2819, 2567]"
740,25.2,-1.0,-1.0,-1,-1,"[2749, 3108, 3249, 3179, 2872, 2602]"
750,25.0,-1.0,-1.0,-1,-1,"[2787, 3143, 3298, 3220, 2910, 2651]"
760,20.6,-1.0,-1.0,-1,-1,"[2819, 3175, 3332, 3255, 2950, 2684]"
770,22.0,-1.0,-1.0,-1,-1,"[2865, 3217, 3368, 3290, 2982, 2713]"
780,18.8,-1.0,-1.0,-1,-1,"[2894, 3244, 3401, 3318, 3023, 2743]"
790,20.7,-1.0,-1.0,-1,-1,"[2917, 3293, 3436, 3361, 3052, 2771]"
800,29.1,-1.0,-1.0,-1,-1,"[2964, 3340, 3488, 3417, 3103, 2809]"
810,16.3,-1.0,-1.0,-1,-1,"[2993, 3367, 3522, 3441, 3127, 2834]"
820,34.8,-1.0,-1.0,-1,-1,"[3049, 3419, 3587, 3503, 3189, 2885]"
830,19.6,-1.0,-1.0,-1,-1,"[3079, 3464, 3619, 3533, 3216, 2917]"
840,21.3,-1.0,-1.0,-1,-1,"[3112, 3507, 3649, 3572, 3249, 2952]"
