episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
20, 15.8, -1.0, -1.0, -1, -1
40, 27.7, -1.0, -1.0, -1, -1, 0.16085271317829458, 0.1511627906976744, 0.2131782945736434, 0.14922480620155038, 0.17248062015503876, 0.15310077519379844
60, 22.9, -1.0, -1.0, -1, -1, 0.18625277161862527, 0.164079822616408, 0.2261640798226164, 0.15299334811529933, 0.15521064301552107, 0.11529933481152993
80, 30.0, -1.0, -1.0, -1, -1, 0.20598591549295775, 0.08626760563380281, 0.1936619718309859, 0.14612676056338028, 0.27992957746478875, 0.0880281690140845
100, 28.9, -1.0, -1.0, -1, -1, 0.1482084690553746, 0.11726384364820847, 0.1758957654723127, 0.21498371335504887, 0.26384364820846906, 0.07980456026058631
120, 35.3, -0.8, -1.0, -1, 1, 0.09420289855072464, 0.07246376811594203, 0.3973429951690821, 0.15458937198067632, 0.23429951690821257, 0.04710144927536232
140, 35.6, -0.8, -1.0, -1, 1, 0.09497964721845319, 0.09497964721845319, 0.40705563093622793, 0.12075983717774763, 0.22388059701492538, 0.05834464043419267
160, 50.8, -0.6, -1.0, -1, 1, 0.14019607843137255, 0.10980392156862745, 0.453921568627451, 0.09313725490196079, 0.17352941176470588, 0.029411764705882353
180, 50.0, -0.8, -1.0, -1, 1, 0.14814814814814814, 0.09694989106753812, 0.4008714596949891, 0.11437908496732026, 0.20261437908496732, 0.037037037037037035
200, 72.6, -1.0, -1.0, -1, -1, 0.13986013986013987, 0.09401709401709402, 0.44133644133644134, 0.09013209013209013, 0.21445221445221446, 0.020202020202020204
220, 104.9, -1.0, -1.0, -1, -1, 0.18195876288659793, 0.10206185567010309, 0.3716494845360825, 0.09587628865979382, 0.23505154639175257, 0.013402061855670102
240, 58.5, -0.6, -1.0, -1, 1, 0.1973051010587103, 0.09720885466794996, 0.3532242540904716, 0.08950914340712224, 0.23965351299326276, 0.023099133782483156
260, 84.4, -0.8, -1.0, -1, 1, 0.16554809843400448, 0.09619686800894854, 0.32046979865771813, 0.07270693512304251, 0.33109619686800895, 0.013982102908277404
280, 73.7, -0.4, -1.0, -1, 1, 0.14228007181328545, 0.14093357271095153, 0.42190305206463197, 0.05475763016157989, 0.23204667863554757, 0.00807899461400359
300, 136.9, -0.4, -1.0, -1, 1, 0.12434652725914862, 0.14376400298730396, 0.3954443614637789, 0.06273338312173264, 0.268857356235997, 0.0048543689320388345
320, 107.9, -0.6, -1.0, -1, 1, 0.15940803382663848, 0.11881606765327696, 0.4080338266384778, 0.06765327695560254, 0.240169133192389, 0.005919661733615222
340, 126.3, -1.0, -1.0, -1, -1, 0.14752791068580542, 0.09848484848484848, 0.47527910685805425, 0.051834130781499205, 0.22208931419457736, 0.004784688995215311
360, 120.9, 0.0, 0.0, -1, 1, 0.11072261072261072, 0.10295260295260296, 0.5439005439005439, 0.05244755244755245, 0.18764568764568765, 0.002331002331002331
380, 177.4, -0.2, -1.0, -1, 1, 0.090393595730487, 0.1237491661107405, 0.5433622414943295, 0.052701801200800535, 0.1874583055370247, 0.0023348899266177454
400, 131.6, -1.0, -1.0, -1, -1, 0.0825242718446602, 0.1407766990291262, 0.502206531332745, 0.04766107678729038, 0.22197705207413945, 0.0048543689320388345
420, 191.1, -0.4, -1.0, -1, 1, 0.06099759615384615, 0.15114182692307693, 0.5108173076923077, 0.033353365384615384, 0.24188701923076922, 0.0018028846153846155
440, 174.9, -0.8, -1.0, -1, 1, 0.04952185792349727, 0.17418032786885246, 0.4135928961748634, 0.035860655737704916, 0.3241120218579235, 0.00273224043715847
460, 137.7, 0.0, 0.0, -1, 1, 0.043908880818752064, 0.16672169032684053, 0.3555628920435787, 0.027071640805546384, 0.40508418620006603, 0.001650709805216243
480, 191.9, 0.0, 0.0, -1, 1, 0.04478346456692913, 0.18676181102362205, 0.3184055118110236, 0.025344488188976378, 0.4242125984251969, 0.0004921259842519685
500, 118.4, 0.2, 1.0, -1, 1, 0.05125284738041002, 0.1921032649962035, 0.3462414578587699, 0.036826119969627945, 0.37167805618830674, 0.0018982536066818527
520, 169.8, -0.6, -1.0, -1, 1, 0.05456634118322803, 0.2283170591614015, 0.30643308443423317, 0.03331418724870764, 0.37535898908673176, 0.002010338885697875
540, 161.6, -0.4, -1.0, -1, 1, 0.058121019108280256, 0.17170912951167727, 0.31263269639065816, 0.0368895966029724, 0.42038216560509556, 0.0002653927813163482
560, 140.9, -0.4, -1.0, -1, 1, 0.047619047619047616, 0.15476190476190477, 0.24206349206349206, 0.04894179894179894, 0.5066137566137566, 0.0
580, 137.6, -0.6, -1.0, -1, 1, 0.06843425295592978, 0.21426012182013615, 0.22536725188104623, 0.03762092439985668, 0.4521676818344679, 0.002149767108563239
600, 255.2, -0.4, -1.0, -1, 1, 0.07813182016586644, 0.2673505019642078, 0.2140986468790921, 0.031209079004801396, 0.4089917066783064, 0.00021824530772588389
620, 114.0, -0.2, -1.0, -1, 1, 0.0666183924692252, 0.2328023171614772, 0.25850832729905865, 0.04887762490948588, 0.391020999275887, 0.002172338884866039
640, 102.2, -0.2, -1.0, -1, 1, 0.07204610951008646, 0.17835414665385846, 0.33525456292026895, 0.04707012487992315, 0.36663464617355107, 0.0006404098623118795
660, 274.2, -0.2, -1.0, -1, 1, 0.04919093851132686, 0.1784250269687163, 0.32405609492988136, 0.040560949298813376, 0.4075512405609493, 0.0002157497303128371
680, 231.6, -0.2, -1.0, -1, 1, 0.0492030492030492, 0.1884961884961885, 0.3342573342573343, 0.04389004389004389, 0.382998382998383, 0.001155001155001155
700, 210.2, -0.6, -1.0, -1, 1, 0.04834296138643965, 0.1687442991790818, 0.383399209486166, 0.04226208574034661, 0.35633931286105197, 0.0009121313469139556
720, 191.9, -0.2, -1.0, -1, 1, 0.034140969162995596, 0.16299559471365638, 0.3761013215859031, 0.03827092511013216, 0.38849118942731276, 0.0
740, 173.7, 0.2, 1.0, -1, 1, 0.03422619047619048, 0.22529761904761905, 0.3238095238095238, 0.03333333333333333, 0.3830357142857143, 0.00029761904761904765
760, 129.8, -0.2, -1.0, -1, 1, 0.03258390355164549, 0.2945584881068752, 0.3199739328771587, 0.029651352231997392, 0.32225480612577384, 0.0009775171065493646
780, 135.2, -0.6, -1.0, -1, 1, 0.04637887977167321, 0.25258651444880487, 0.4220478059222262, 0.03781662504459508, 0.24045665358544416, 0.0007135212272565109
800, 196.1, 0.0, 0.0, -1, 1, 0.03917241379310345, 0.20386206896551723, 0.5464827586206896, 0.03089655172413793, 0.17875862068965517, 0.0008275862068965517
820, 190.9, -0.4, -1.0, -1, 1, 0.04555808656036447, 0.3020501138952164, 0.44760820045558086, 0.03735763097949886, 0.16674259681093395, 0.000683371298405467
840, 157.7, -0.2, -1.0, -1, 1, 0.05422853453841188, 0.40735958683021306, 0.36410587475790834, 0.04970948999354422, 0.12395093608779859, 0.0006455777921239509
860, 208.1, -0.6, -1.0, -1, 1, 0.06953892668178382, 0.40287226001511717, 0.3494583018392542, 0.03149407911312673, 0.14638447971781304, 0.0002519526329050139
880, 177.1, 0.0, 0.0, -1, 1, 0.05794117647058823, 0.4111764705882353, 0.3770588235294118, 0.023823529411764705, 0.12941176470588237, 0.000588235294117647
900, 173.5, -0.6, -1.0, -1, 1, 0.06698002350176263, 0.32403055229142186, 0.44535840188014103, 0.031139835487661575, 0.13219741480611047, 0.0002937720329024677
920, 169.5, -0.6, -1.0, -1, 1, 0.07251521298174442, 0.3775354969574036, 0.40720081135902636, 0.03575050709939148, 0.10699797160243407, 0.0
940, 235.2, -0.6, -1.0, -1, 1, 0.10572139303482588, 0.34776119402985073, 0.39676616915422885, 0.03283582089552239, 0.11691542288557213, 0.0
960, 205.8, -0.4, -1.0, -1, 1, 0.0836094825388733, 0.3663013000254907, 0.4101452969666072, 0.029059393321437674, 0.11062962018863115, 0.0002549069589599796
980, 142.4, 0.0, 0.0, -1, 1, 0.07560886950199927, 0.4194838240639767, 0.35223555070883317, 0.018538713195201745, 0.13376953834969102, 0.0003635041802980734
